Fri Nov 22 22:19:16 GMT+08:00 2013
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1385272929039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272934041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272939040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272944040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272949040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272954040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272959039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272964042,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272969041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272974042,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272979045,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272984040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272989041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272994040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385272999040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273004040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273009040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273014040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273019040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273024040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273029040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273034039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273039040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273044040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273049039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273054040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273059040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273064041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273069040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273074040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273079039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273084040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273089040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273094040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273099039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273104040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273109039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273114040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273119040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273124040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273129040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273134040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273139039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273144040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273149039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273154039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273159040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273164040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273169040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273174040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273179040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273184040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273189040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273194039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273199040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273204040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273209040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273214040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273219040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273224040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273229040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273234040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273239040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273244041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273249040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273254040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273259040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273264040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273269040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273274040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273279040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273284040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273289039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273294040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273299040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273304039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273309040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273314040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273319040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273324040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273329040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273334040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273339040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273344039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273349040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273354040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273359039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273364040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273369040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273374040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273379040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273384040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273389039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273394040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273399040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273404040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273409040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273414040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273419041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273424040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273429040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273434040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273439040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273444039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273449040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273454039,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273459040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273464040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273469040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273474040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273479040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273484040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273489040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273494041,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273499040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273504040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273509040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273514040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273519040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273524040,5,25,5,0,17,0,0,808,0,405,45,0,0
1385273529040,5,25,5,0,17,0,0,808,0,405,45,0,0
